label,sp_alloc_fifo,sp_alloc_filo
clang,0.0,45.0
gcc,6.0,11.0
gcc,2465.0,1.0
gcc,8.0,3.0
gcc,89.0,2.0
gcc,81.0,2.0
gcc,9.0,9.0
clang,0.0,96.0
gcc,5.0,8.0
gcc,3.0,7.0
clang,0.0,117.0
clang,0.0,0.0
gcc,9.0,3.0
gcc,199.0,47.0
gcc,391.0,0.0
gcc,14.0,9.0
gcc,28.0,2.0
clang,0.0,579.0
gcc,137.0,3.0
gcc,39.0,4.0
gcc,54.0,2.0
clang,1.0,921.0
gcc,30.0,0.0
gcc,6.0,12.0
gcc,11.0,8.0
clang,0.0,80.0
clang,0.0,56.0
clang,0.0,1100.0
clang,0.0,9.0
gcc,65.0,0.0
gcc,5.0,11.0
gcc,1.0,2.0
clang,0.0,41.0
gcc,6.0,6.0
gcc,6.0,1.0
gcc,71.0,2.0
gcc,12.0,1.0
gcc,17.0,23.0
gcc,10.0,4.0
gcc,18.0,1.0
gcc,391.0,0.0
gcc,4.0,8.0
gcc,18.0,2.0
clang,0.0,3.0
clang,0.0,1.0
clang,0.0,105.0
clang,0.0,216.0
gcc,14.0,9.0
gcc,354.0,1.0
clang,0.0,34.0
clang,0.0,29.0
clang,0.0,61.0
gcc,4.0,9.0
clang,0.0,27.0
clang,0.0,8.0
gcc,4.0,10.0
clang,0.0,74.0
gcc,0.0,1.0
clang,0.0,117.0
gcc,8.0,7.0
clang,0.0,10.0
clang,0.0,161.0
gcc,149.0,1.0
gcc,4.0,0.0
gcc,3.0,0.0
clang,0.0,240.0
clang,1.0,24.0
clang,0.0,32.0
gcc,39.0,2.0
gcc,699.0,1.0
gcc,6.0,6.0
clang,0.0,27.0
clang,0.0,22.0
clang,0.0,22.0
clang,0.0,10.0
gcc,63.0,2.0
clang,0.0,87.0
clang,0.0,22.0
gcc,21.0,1.0
gcc,23.0,2.0
gcc,19.0,20.0
clang,0.0,7.0
gcc,4.0,10.0
clang,0.0,35.0
clang,0.0,53.0
gcc,156.0,1.0
gcc,109.0,1.0
gcc,688.0,1.0
clang,0.0,18.0
clang,0.0,88.0
gcc,10.0,3.0
clang,0.0,30.0
clang,0.0,13.0
clang,0.0,58.0
clang,0.0,72.0
clang,0.0,18.0
clang,0.0,82.0
clang,0.0,27.0
clang,0.0,94.0
gcc,19.0,0.0
gcc,12.0,11.0
clang,0.0,23.0
clang,0.0,19.0
gcc,37.0,1.0
gcc,65.0,2.0
gcc,10.0,1.0
gcc,8.0,9.0
clang,0.0,16.0
gcc,16.0,4.0
clang,0.0,37.0
gcc,7.0,0.0
gcc,33.0,1.0
gcc,9.0,11.0
clang,0.0,19.0
clang,0.0,3.0
gcc,94.0,1.0
gcc,14.0,18.0
gcc,12.0,0.0
gcc,1.0,0.0
gcc,311.0,1.0
gcc,31.0,12.0
clang,0.0,36.0
clang,0.0,0.0
gcc,11.0,0.0
clang,0.0,0.0
gcc,25.0,5.0
gcc,1.0,1.0
clang,0.0,27.0
clang,0.0,334.0
gcc,154.0,26.0
gcc,35.0,2.0
clang,0.0,28.0
gcc,28.0,1.0
clang,0.0,332.0
clang,0.0,32.0
gcc,100.0,21.0
gcc,0.0,1.0
gcc,6.0,6.0
gcc,2.0,0.0
clang,0.0,3.0
clang,0.0,24.0
clang,0.0,205.0
clang,1.0,789.0
clang,1.0,416.0
gcc,120.0,2.0
gcc,1575.0,1.0
gcc,53.0,0.0
gcc,255.0,1.0
gcc,7.0,6.0
clang,0.0,60.0
clang,0.0,108.0
gcc,4.0,10.0
gcc,3.0,7.0
gcc,18.0,1.0
gcc,6.0,1.0
clang,0.0,41.0
gcc,0.0,1.0
gcc,4.0,0.0
gcc,28.0,0.0
clang,0.0,108.0
gcc,11.0,5.0
clang,0.0,30.0
clang,0.0,259.0
clang,0.0,39.0
clang,1.0,922.0
gcc,136.0,2.0
gcc,5.0,11.0
gcc,2.0,2.0
clang,0.0,0.0
clang,0.0,133.0
gcc,18.0,1.0
gcc,9.0,6.0
gcc,194.0,1.0
gcc,8.0,3.0
clang,0.0,25.0
gcc,43.0,0.0
gcc,0.0,2.0
gcc,6.0,6.0
gcc,11.0,3.0
clang,0.0,14.0
clang,0.0,0.0
clang,1.0,449.0
clang,0.0,261.0
gcc,33.0,1.0
clang,0.0,123.0
clang,0.0,33.0
clang,0.0,24.0
clang,0.0,18.0
clang,0.0,3.0
clang,0.0,31.0
gcc,19.0,1.0
clang,0.0,18.0
gcc,68.0,2.0
clang,0.0,217.0
clang,0.0,21.0
clang,0.0,3.0
clang,0.0,17.0
clang,0.0,22.0
gcc,103.0,1.0
gcc,102.0,2.0
gcc,11.0,8.0
clang,0.0,89.0
gcc,8.0,9.0
clang,0.0,40.0
clang,0.0,0.0
gcc,14.0,4.0
gcc,6.0,10.0
clang,0.0,17.0
clang,0.0,4.0
gcc,7.0,11.0
gcc,105.0,2.0
clang,0.0,23.0
clang,0.0,23.0
clang,0.0,0.0
clang,0.0,35.0
clang,0.0,85.0
clang,0.0,31.0
clang,0.0,41.0
gcc,9.0,9.0
clang,0.0,219.0
clang,0.0,19.0
gcc,72.0,2.0
gcc,20.0,2.0
clang,0.0,190.0
gcc,21.0,9.0
gcc,687.0,1.0
gcc,35.0,1.0
gcc,25.0,16.0
gcc,2.0,2.0
clang,0.0,94.0
gcc,47.0,1.0
clang,0.0,38.0
gcc,6.0,6.0
gcc,83.0,1.0
gcc,19.0,1.0
gcc,5.0,6.0
clang,0.0,187.0
gcc,3.0,3.0
clang,0.0,49.0
clang,0.0,1.0
clang,0.0,0.0
clang,0.0,375.0
clang,0.0,18.0
gcc,6.0,9.0
gcc,9.0,7.0
gcc,15.0,13.0
clang,0.0,39.0
clang,1.0,712.0
clang,0.0,36.0
clang,0.0,93.0
gcc,3.0,4.0
clang,0.0,154.0
gcc,27.0,3.0
gcc,15.0,3.0
gcc,2754.0,1.0
gcc,5.0,9.0
clang,0.0,112.0
gcc,1568.0,1.0
gcc,14.0,7.0
gcc,131.0,1.0
gcc,35.0,2.0
gcc,27.0,7.0
gcc,8.0,6.0
gcc,27.0,13.0
gcc,132.0,2.0
gcc,61.0,2.0
clang,1.0,416.0
gcc,67.0,2.0
gcc,1.0,1.0
gcc,71.0,1.0
clang,0.0,58.0
clang,0.0,42.0
gcc,25.0,1.0
gcc,100.0,0.0
clang,0.0,54.0
clang,0.0,9.0
clang,0.0,117.0
gcc,7.0,1.0
gcc,4.0,1.0
clang,0.0,18.0
gcc,333.0,2.0
gcc,7.0,11.0
clang,0.0,9.0
clang,1.0,45.0
clang,0.0,2458.0
clang,0.0,73.0
clang,0.0,28.0
clang,0.0,22.0
clang,0.0,60.0
gcc,6.0,13.0
clang,0.0,23.0
clang,0.0,23.0
clang,0.0,43.0
gcc,106.0,1.0
gcc,102.0,2.0
gcc,220.0,1.0
clang,0.0,4.0
clang,1.0,729.0
gcc,8.0,11.0
gcc,1.0,1.0
gcc,136.0,1.0
gcc,12.0,12.0
gcc,110.0,1.0
clang,0.0,0.0
gcc,4.0,7.0
gcc,16.0,21.0
clang,0.0,32.0
clang,0.0,55.0
gcc,4955.0,1.0
gcc,20.0,1.0
gcc,15.0,6.0
gcc,2.0,5.0
clang,0.0,159.0
gcc,6.0,1.0
gcc,249.0,1.0
clang,0.0,180.0
gcc,6.0,6.0
clang,0.0,150.0
gcc,5.0,6.0
gcc,5.0,4.0
gcc,19.0,1.0
gcc,24.0,6.0
gcc,8.0,1.0
gcc,8.0,3.0
gcc,116.0,2.0
clang,0.0,62.0
gcc,116.0,1.0
clang,0.0,78.0
clang,0.0,1611.0
clang,0.0,150.0
gcc,21.0,2.0
gcc,7.0,9.0
gcc,221.0,56.0
gcc,35.0,2.0
gcc,1.0,1.0
gcc,238.0,1.0
clang,0.0,97.0
gcc,20.0,1.0
gcc,1.0,0.0
gcc,61.0,0.0
clang,0.0,107.0
gcc,164.0,2.0
gcc,79.0,2.0
gcc,13.0,0.0
clang,0.0,20.0
gcc,8.0,2.0
gcc,9.0,10.0
gcc,20.0,1.0
clang,22.0,617.0
clang,0.0,0.0
clang,0.0,9.0
clang,0.0,78.0
gcc,101.0,1.0
gcc,19.0,1.0
gcc,24.0,2.0
gcc,17.0,9.0
clang,0.0,0.0
clang,0.0,19.0
clang,0.0,20.0
clang,0.0,83.0
gcc,4.0,1.0
gcc,3.0,0.0
clang,0.0,20.0
gcc,61.0,1.0
gcc,77.0,51.0
clang,0.0,9.0
gcc,238.0,2.0
gcc,81.0,25.0
gcc,130.0,1.0
clang,0.0,276.0
clang,0.0,515.0
clang,0.0,247.0
gcc,5.0,0.0
gcc,3.0,2.0
clang,0.0,0.0
gcc,7.0,12.0
clang,0.0,2.0
gcc,17.0,1.0
clang,0.0,4.0
clang,0.0,20.0
gcc,87.0,2.0
clang,0.0,19.0
clang,0.0,310.0
clang,0.0,43.0
gcc,15.0,12.0
clang,0.0,11.0
clang,0.0,8.0
clang,0.0,62.0
gcc,12.0,21.0
gcc,0.0,1.0
clang,1.0,679.0
clang,0.0,24.0
gcc,220.0,1.0
clang,0.0,26.0
clang,0.0,24.0
gcc,254.0,1.0
gcc,330.0,0.0
clang,0.0,18.0
clang,0.0,40.0
clang,0.0,45.0
clang,0.0,14.0
clang,0.0,4.0
clang,0.0,3.0
clang,0.0,80.0
clang,0.0,67.0
gcc,36.0,2.0
gcc,36.0,2.0
clang,0.0,390.0
clang,0.0,0.0
clang,0.0,216.0
gcc,8.0,12.0
gcc,6.0,11.0
gcc,48.0,1.0
gcc,31.0,1.0
gcc,156.0,0.0
clang,0.0,33.0
gcc,37.0,1.0
clang,0.0,24.0
clang,0.0,1.0
gcc,4.0,3.0
gcc,3.0,7.0
clang,0.0,11.0
clang,0.0,46.0
gcc,26.0,1.0
clang,0.0,13.0
clang,0.0,150.0
clang,0.0,64.0
gcc,1.0,0.0
gcc,132.0,2.0
gcc,94.0,2.0
clang,0.0,0.0
gcc,0.0,0.0
gcc,31.0,0.0
gcc,1625.0,1.0
clang,0.0,22.0
clang,0.0,102.0
clang,0.0,60.0
gcc,3.0,3.0
clang,0.0,19.0
gcc,337.0,2.0
clang,0.0,52.0
clang,0.0,98.0
gcc,129.0,3.0
gcc,2.0,4.0
clang,0.0,216.0
clang,0.0,28.0
clang,0.0,104.0
gcc,17.0,2.0
gcc,25.0,1.0
gcc,62.0,2.0
gcc,30.0,15.0
clang,0.0,40.0
gcc,8.0,6.0
clang,0.0,89.0
gcc,4.0,0.0
gcc,77.0,2.0
gcc,9.0,11.0
clang,0.0,28.0
clang,0.0,76.0
gcc,0.0,3.0
clang,0.0,23.0
clang,0.0,167.0
gcc,21.0,1.0
gcc,7.0,10.0
gcc,72.0,2.0
clang,0.0,9.0
gcc,151.0,28.0
gcc,0.0,1.0
gcc,2.0,0.0
gcc,7.0,0.0
gcc,12.0,12.0
clang,0.0,22.0
gcc,97.0,2.0
gcc,9.0,12.0
gcc,7.0,7.0
clang,0.0,5.0
clang,0.0,240.0
clang,0.0,9.0
clang,0.0,58.0
clang,0.0,24.0
clang,0.0,0.0
gcc,7.0,0.0
clang,0.0,4.0
gcc,1.0,2.0
gcc,1565.0,0.0
clang,0.0,11.0
clang,0.0,70.0
clang,0.0,81.0
gcc,6.0,10.0
gcc,189.0,37.0
gcc,16.0,2.0
clang,0.0,62.0
gcc,56.0,14.0
gcc,72.0,2.0
gcc,21.0,1.0
clang,0.0,1326.0
gcc,5.0,8.0
clang,0.0,132.0
gcc,12.0,22.0
clang,0.0,66.0
clang,0.0,2.0
gcc,1.0,1.0
clang,0.0,30.0
gcc,4.0,6.0
gcc,6.0,0.0
gcc,11.0,1.0
clang,0.0,21.0
gcc,3.0,0.0
gcc,8.0,8.0
gcc,4.0,11.0
gcc,6.0,11.0
clang,0.0,174.0
gcc,5.0,7.0
clang,0.0,93.0
clang,0.0,18.0
gcc,42.0,17.0
clang,0.0,19.0
clang,0.0,30.0
gcc,1.0,0.0
gcc,112.0,1.0
clang,0.0,72.0
clang,0.0,46.0
gcc,51.0,17.0
clang,0.0,38.0
gcc,57.0,1.0
clang,0.0,152.0
clang,0.0,43.0
gcc,58.0,2.0
clang,0.0,48.0
gcc,573.0,557.0
gcc,45.0,0.0
gcc,13.0,11.0
gcc,4.0,11.0
gcc,10.0,3.0
clang,0.0,101.0
gcc,505.0,1.0
gcc,68.0,2.0
gcc,13.0,3.0
clang,0.0,21.0
gcc,94.0,2.0
clang,0.0,55.0
clang,0.0,1551.0
gcc,49.0,17.0
gcc,6.0,6.0
gcc,79.0,2.0
clang,0.0,3.0
clang,0.0,33.0
clang,0.0,93.0
clang,0.0,20.0
clang,0.0,88.0
gcc,489.0,1.0
gcc,0.0,4.0
gcc,112.0,2.0
gcc,17.0,11.0
clang,0.0,161.0
clang,0.0,111.0
gcc,55.0,2.0
clang,0.0,0.0
gcc,5.0,8.0
gcc,150.0,35.0
gcc,3.0,7.0
gcc,21.0,1.0
clang,0.0,88.0
gcc,1.0,0.0
clang,0.0,71.0
clang,0.0,17.0
clang,0.0,17.0
gcc,115.0,16.0
gcc,335.0,3.0
clang,0.0,78.0
clang,0.0,14.0
clang,0.0,54.0
gcc,71.0,2.0
gcc,164.0,2.0
clang,0.0,21.0
gcc,4.0,7.0
gcc,41.0,2.0
clang,0.0,38.0
gcc,73.0,2.0
gcc,289.0,2.0
clang,0.0,97.0
clang,0.0,83.0
clang,0.0,1883.0
gcc,167.0,41.0
gcc,46.0,0.0
clang,0.0,8.0
gcc,5.0,10.0
gcc,35.0,2.0
clang,0.0,23.0
clang,0.0,24.0
gcc,40.0,1.0
gcc,3.0,3.0
gcc,3.0,9.0
gcc,6.0,1.0
gcc,16.0,12.0
clang,0.0,1326.0
clang,0.0,12.0
clang,0.0,93.0
gcc,35.0,0.0
clang,0.0,6.0
gcc,72.0,2.0
clang,1.0,496.0
clang,0.0,7.0
gcc,38.0,1.0
gcc,92.0,1.0
clang,0.0,27.0
clang,0.0,28.0
gcc,19.0,5.0
gcc,65.0,3.0
gcc,17.0,6.0
clang,0.0,9.0
clang,0.0,26.0
gcc,16.0,10.0
gcc,169.0,42.0
clang,0.0,29.0
gcc,49.0,1.0
gcc,108.0,1.0
clang,0.0,151.0
gcc,7.0,8.0
gcc,0.0,3.0
gcc,15.0,1.0
gcc,4.0,7.0
clang,0.0,21.0
gcc,57.0,2.0
gcc,79.0,1.0
clang,0.0,92.0
gcc,4.0,3.0
clang,0.0,40.0
gcc,18.0,1.0
gcc,20.0,13.0
gcc,5.0,6.0
gcc,4.0,9.0
gcc,132.0,1.0
clang,0.0,276.0
gcc,27.0,2.0
gcc,16.0,12.0
clang,0.0,75.0
gcc,63.0,2.0
gcc,682.0,1.0
gcc,86.0,2.0
clang,1.0,531.0
gcc,330.0,0.0
gcc,16.0,12.0
gcc,18.0,10.0
gcc,3.0,1.0
gcc,29.0,2.0
gcc,28.0,7.0
gcc,111.0,17.0
clang,0.0,23.0
clang,0.0,114.0
clang,0.0,33.0
gcc,6.0,1.0
clang,0.0,1.0
clang,0.0,465.0
gcc,23.0,1.0
gcc,55.0,2.0
clang,0.0,5.0
clang,0.0,48.0
gcc,4.0,2.0
clang,0.0,20.0
gcc,17.0,1.0
clang,0.0,42.0
gcc,26.0,6.0
clang,0.0,29.0
clang,0.0,149.0
gcc,4.0,6.0
gcc,29.0,3.0
